## mrna and ribosome profiling read counts for S. pombe 972h- genes
## Duncan C and Mata J (2017) Effects of cycloheximide on the interpretation of ribosome profiling experiments in Schizosaccharomyces pombe. Scientific reports 7:10331
## personal communication by Juan Mata <jm593@cam.ac.uk>, 2019
## 
Gene	wt.noN.CHX.ribo.cds.1	wt.N.CHX.ribo.cds.1	wt.noN.noCHX.ribo.cds.1	wt.N.noCHX.ribo.cds.1	wt.noN.CHX.ribo.cds.3	wt.N.CHX.ribo.cds.3	wt.noN.noCHX.ribo.cds.3	wt.N.noCHX.ribo.cds.3	wt.noN.CHX.mrna.cds.1	wt.N.CHX.mrna.cds.1	wt.noN.noCHX.mrna.cds.1	wt.N.noCHX.mrna.cds.1	wt.noN.CHX.mrna.cds.3	wt.N.CHX.mrna.cds.3	wt.noN.noCHX.mrna.cds.3	wt.N.noCHX.mrna.cds.3
SPBC1711.08	4696	15925	903	8611	801	4772	613	3112	532	2772	546	1301	2206	5512	1611	4915
SPBC1711.09c	424	396	36	149	90	115	46	73	168	275	111	116	710	670	495	423
SPBC1711.10c	3729	1441	676	804	601	569	439	279	1923	1848	1936	868	4042	2645	3125	1707
SPBC1711.11	989	60	131	21	132	18	94	4	841	209	821	92	1720	244	1315	154
SPBC1711.12	3976	1473	825	858	596	482	465	268	3105	2317	2563	1409	4848	3048	3947	2007
SPBC1711.13	4644	5276	802	3156	1146	2109	815	1244	767	1776	645	804	4433	4867	3118	3306
SPBC1711.14	1	5	3	0.5	2	5	0.5	0.5	8	14	9	12	24	22	29	10
SPBC1711.15c	26	69	1	8	7	13	0.5	1	18	51	10	15	42	102	31	45
SPBC1711.16	835	2358	91	968	118	759	78	451	947	3519	495	1656	1465	4032	809	2234
SPBC1711.17	638	423	130	244	104	175	87	104	1357	1429	840	461	3534	2656	2312	1345
SPBC1711.18	1388	429	203	276	322	167	175	153	243	235	174	136	447	369	285	248
SPBC1718.01	512	448	75	198	81	158	51	91	1473	1893	1333	863	2547	2088	1832	982
SPBC1718.02	129	36	24	22	32	6	35	7	238	89	166	51	351	102	317	53
SPBC1718.03	588	1100	69	511	125	308	38	186	325	1150	184	560	512	1385	329	764
SPBC1718.04	3336	1847	638	816	454	631	430	288	1413	2107	1129	777	3717	3279	2193	1807
SPBC1718.05	326	224	47	130	60	79	51	45	155	288	110	131	277	327	161	176
SPBC1718.06	3180	1179	472	442	384	332	248	187	2320	2749	1806	1301	4794	4370	3494	2493
SPBC1718.07c	2655	2266	487	659	310	812	234	220	1638	2306	1536	949	2918	2529	1475	1347
SPBC1734.01c	916	2341	129	1101	115	826	77	425	1317	3175	460	1308	2289	4428	995	2215
SPBC1734.02c	319	388	52	154	82	117	49	56	569	943	333	428	753	908	484	480
SPBC1734.03	1876	1473	297	704	309	536	235	265	998	1444	668	720	2008	2359	1486	1423
SPBC1734.04	6583	3971	1579	2482	1524	1398	1391	938	1675	2455	1429	1109	5165	4760	3902	3029
SPBC1734.05c	349	327	35	164	63	81	39	63	179	333	122	170	313	524	220	285
SPBC1734.06	156	440	14	98	17	146	9	53	626	1493	492	765	1033	1861	742	976
SPBC1734.07c	528	285	72	186	85	141	43	82	533	816	485	376	1349	1390	832	727
SPBC1734.08	3554	798	657	440	663	274	574	228	982	737	684	302	2194	1283	1557	743
SPBC1734.09	677	548	107	245	120	203	99	69	186	376	129	142	419	552	246	290
SPBC1734.10c	984	239	90	142	135	117	73	63	233	333	188	166	901	862	574	580
SPBC1734.11	2173	14307	414	6594	294	4657	342	2370	466	4286	324	2099	1271	6652	672	4971
SPBC1734.12c	973	889	103	346	171	267	65	110	1068	1577	773	776	2292	2605	1524	1487
SPBC1734.13	13929	7435	3023	4061	2912	2873	2557	1851	1877	2474	1847	1514	4906	4432	4296	3325
SPBC1734.14c	1256	1453	165	573	250	591	104	225	214	549	171	347	251	564	164	389
SPBC1734.15	1257	1140	233	517	231	396	155	199	1040	1883	564	691	1957	2311	1145	1059
SPBC1734.16c	2368	1198	394	682	458	464	323	239	3406	3691	2621	1666	5108	4030	3546	2309
SPBC1773.01	1463	1212	390	723	197	400	176	258	1728	2523	1054	1186	2354	2959	1496	1658
SPBC1773.02c	6803	652	1452	355	861	247	541	126	913	234	890	184	2341	536	1760	411
SPBC1773.03c	5492	82	1339	67	815	63	682	22	1735	297	1007	108	3478	680	2179	387
SPBC1773.04	4121	3078	780	1619	524	1166	414	552	1136	1432	975	661	3289	3102	2963	2220
SPBC1773.05c	1044	317	318	213	87	92	108	46	252	185	190	82	742	426	496	278
SPBC1773.06c	145	53	38	33	5	24	5	15	261	234	164	81	421	404	266	208
SPBC1773.07c	4316	6753	930	4286	798	2516	661	1791	937	2486	746	1580	1707	3854	1336	2905
SPBC1773.08c	14	10	1	8	1	3	1	3	336	314	233	161	639	491	456	251
SPBC1773.09c	365	269	62	106	49	82	37	34	940	1107	733	651	1227	1087	831	591
SPBC1773.10c	5064	9990	1218	6106	1028	3468	879	2119	1585	4541	1213	2401	4603	8723	3172	6342
SPBC1773.11c	1037	781	153	345	194	308	136	150	808	1320	592	634	1825	1982	1298	1205
SPBC1773.12	374	93	52	55	172	14	155	11	274	70	201	38	1284	72	997	56
SPBC1773.13	9	24	1	12	3	2	1	5	451	390	198	140	1070	596	778	268
SPBC1773.14	1251	288	184	148	283	129	213	76	437	494	251	215	1584	797	1010	457
SPBC1773.15	438	78	67	42	184	26	201	19	722	673	481	282	3019	1295	2038	738
SPBC1773.16c	565	118	75	55	116	55	100	21	1402	1045	638	443	2107	1181	1280	455
SPBC1773.17c	5854	691	777	312	1480	309	1213	149	2829	1131	2043	648	7108	1760	5677	1264
SPBC1778.01c	2382	8782	359	5468	396	3409	251	2169	667	3412	535	1664	2040	6688	1406	4783
SPBC1778.02	458	179	109	78	81	68	75	32	1155	1181	703	418	1668	1120	1050	538
SPBC1778.03c	1680	1135	328	523	223	298	171	180	689	867	590	421	1252	1202	761	760
SPBC1778.04	1	5	1	2	1	3	0.5	2	18	39	8	18	14	44	10	24
SPBC1778.05c	1184	699	206	330	188	217	125	97	680	760	423	451	672	675	477	422
SPBC1778.06c	16301	8799	3744	5239	2616	3253	2249	1649	3292	4103	3795	2103	9739	6657	8124	5008
SPBC1778.07	335	647	49	339	65	251	34	162	375	1070	300	538	995	1786	780	1292
SPBC1778.08c	6878	3583	1280	1831	1011	1308	672	691	528	925	659	356	2196	1980	1756	1559
SPBC1778.09	436	648	21	240	61	237	26	93	1078	1654	966	982	2482	2704	2079	1777
SPBC1778.10c	2749	1196	527	532	442	428	392	189	1678	1464	1594	685	4226	2466	3104	1581
SPBC17A3.01c	1302	1859	196	968	158	715	114	330	1014	2481	521	1239	1606	2972	814	1632
SPBC17A3.02	779	433	111	224	131	166	96	85	75	118	89	64	187	210	140	148
SPBC17A3.03c	1033	430	130	162	121	188	85	81	529	783	489	320	1291	1236	906	718
SPBC17A3.04c	3645	7654	792	4333	669	2800	656	1572	1733	5108	1321	2539	5520	10407	3954	7799
SPBC17A3.05c	1602	1357	209	677	365	416	198	256	1148	1895	801	994	1751	2245	1098	1155
SPBC17A3.06	278	315	29	122	36	120	25	55	134	280	74	114	324	484	180	234
SPBC17A3.07	9927	6095	1837	3644	1264	1805	954	1315	1776	2520	1551	1176	4321	5079	2911	3619
SPBC17A3.08	430	577	48	300	90	204	34	128	405	727	284	423	596	956	455	524
SPBC17A3.09c	173	141	30	107	42	70	16	29	157	335	99	214	333	531	207	296
SPBC17A3.10	316	153	28	54	51	65	22	27	148	261	124	114	386	450	257	262
SPBC17D1.01	1625	1195	189	424	235	334	163	125	1646	3347	1384	1421	3202	4994	1875	1999
SPBC17D1.02	450	876	64	462	80	374	49	171	264	717	103	255	607	1337	344	745
SPBC17D1.03c	802	832	96	391	121	359	77	138	233	627	149	240	615	1006	417	581
SPBC17D1.04	148	249	16	110	27	69	7	43	129	326	131	142	486	706	419	480
SPBC17D1.05	777	2533	45	1045	128	1163	28	437	534	2662	582	1220	2004	4759	1501	3275
SPBC17D1.06	443	2462	68	1435	88	867	48	537	631	2790	303	1379	1485	4973	550	2643
SPBC17D1.07c	38	34	3	9	5	14	6	3	217	427	135	193	474	614	298	291
SPBC17D1.17	6849	1841	1963	1466	1454	667	1592	659	575	401	572	244	1222	773	1024	577
SPBC17D11.01	430	423	92	183	59	140	54	76	1413	1513	1302	590	2250	1659	1198	791
SPBC17D11.02c	2172	1145	319	534	408	365	224	150	2084	2435	1735	1025	3300	2755	2130	1515
SPBC17D11.03c	4094	598	790	360	487	234	393	165	738	306	550	117	1315	600	867	372
SPBC17D11.04c	680	470	89	217	96	142	56	84	644	1252	469	512	1495	1853	849	949
SPBC17D11.05	4200	11008	548	6347	625	4133	468	2547	4030	11654	3347	6480	8630	18248	7013	13608
SPBC17D11.06	1062	673	150	368	199	232	114	164	691	1003	361	470	1293	1553	708	801
SPBC17D11.07c	9779	7432	2648	3747	1831	2311	1895	1367	5029	7494	4085	3227	11433	12062	8501	7810
SPBC17D11.08	6307	1509	1254	823	970	528	814	272	1734	1131	1660	478	3964	1666	3055	1150
SPBC17F3.01c	2637	840	264	218	361	322	225	115	891	993	486	294	2735	1640	1209	562
SPBC17F3.02	1574	455	205	251	351	220	171	101	1392	1323	1030	460	3969	2220	2556	1000
SPBC17G9.02c	929	1040	178	611	180	333	129	197	470	952	297	454	916	1262	644	724
SPBC17G9.03c	4502	17444	718	9273	597	6200	418	3165	1410	5279	1518	2809	5806	12135	4817	9373
SPBC17G9.04c	1442	1799	268	912	232	635	235	333	1080	2172	769	1040	2380	3325	1617	2095
SPBC17G9.05	407	397	120	172	64	154	70	69	839	1319	605	498	1316	1522	956	733
SPBC17G9.06c	5105	3150	1090	1590	1051	1203	1044	591	953	1376	992	704	3513	2754	3113	2065
SPBC17G9.07	8203	31243	373	16732	1424	14288	177	6210	427	2510	392	1217	1706	6185	1451	5296
SPBC17G9.08c	6012	2573	1357	1192	1250	910	1231	505	5535	5097	4266	2486	9796	5936	6917	3539
SPBC17G9.09	2950	8353	387	4039	466	3653	308	1727	1048	4872	973	2518	2448	6757	1626	4741
SPBC17G9.10	5509	15509	277	16211	749	6874	185	6464	644	3874	512	2227	1768	8491	1422	6812
SPBC17G9.11c	22761	22283	4649	10925	3783	6773	3368	3103	4529	7457	4741	4083	14839	13903	10825	12427
SPBC17G9.12c	387	475	58	172	81	199	40	72	138	315	112	166	316	472	205	363
SPBC17G9.13c	227	209	16	34	28	95	13	19	319	547	188	182	417	612	161	242
SPBC1815.01	48577	306237	9031	189795	8906	128047	6360	67980	3730	25600	5166	15444	16281	53459	14158	47635
SPBC1826.01c	1795	1845	398	831	346	632	332	337	4442	7356	3053	2889	9245	10233	6231	5728
SPBC1861.01c	292	213	47	93	42	41	33	29	872	1481	430	561	1281	1289	737	553
SPBC1861.02	261	391	47	144	47	129	30	37	371	955	300	335	549	707	244	255
SPBC1861.03	1272	1041	161	440	207	373	135	153	992	2010	655	740	1886	2598	1143	1461
SPBC1861.04c	824	887	154	443	111	290	117	152	1246	2017	683	835	2393	2535	1723	1382
SPBC1861.05	14156	790	3226	354	2312	254	1992	101	6667	1667	4966	777	14696	2442	10662	1545
SPBC1861.06c	0.5	3	0.5	1	0.5	1	0.5	0.5	0.5	2	0.5	2	1	7	1	2
SPBC1861.07	131	111	13	50	14	49	8	28	27	52	10	19	44	75	24	43
SPBC1861.08c	459	707	93	331	96	256	71	147	443	1093	398	620	965	1692	868	1152
SPBC1861.09	454	546	71	229	96	230	52	113	997	1573	863	679	1892	2181	1347	1170
SPBC18A7.01	3076	1124	673	673	630	299	554	255	1082	854	908	426	2525	1414	2011	984
SPBC18A7.02c	658	474	76	260	88	137	61	90	491	842	445	409	1553	1557	1150	897
SPBC18E5.01	5106	4026	1237	2030	959	1392	961	754	1065	1677	1132	864	2904	2682	2367	1881
SPBC18E5.02c	5026	3822	673	1802	1051	1271	730	694	1063	1556	1017	754	4173	3699	3529	2356
SPBC18E5.03c	88	181	9	62	18	77	5	29	137	614	120	347	267	736	250	419
SPBC18E5.04	23117	32541	2226	17176	2692	15652	677	5440	1558	5177	1693	2632	5654	12876	4583	10828
SPBC18E5.05c	667	336	97	186	113	145	80	63	643	897	416	357	1002	1024	790	583
SPBC18E5.06	10690	12428	484	17274	2090	6656	268	7091	428	2110	418	1240	2181	5367	1679	4646
SPBC18E5.07	7222	4854	2412	3026	1404	1751	1477	1015	2917	4292	2281	1716	6653	6065	4102	3644
SPBC18E5.08	104	172	8	50	20	79	16	16	144	465	98	183	202	432	142	169
SPBC18E5.09c	1	4	0.5	0.5	2	1	0.5	0.5	111	169	97	71	485	421	351	234
SPBC18E5.10	205	116	41	81	29	25	26	36	335	415	225	200	372	463	310	254
SPBC18E5.11c	2305	1296	525	820	374	500	306	285	1491	1793	1085	845	2852	2345	1926	1540
SPBC18E5.12c	1332	987	191	711	199	329	145	257	1079	2114	661	883	1940	2652	1380	1559
SPBC18E5.13	627	529	98	224	128	184	70	93	254	446	147	197	481	657	348	373
SPBC18E5.14c	1	1	0.5	0.5	1	0.5	0.5	1	188	275	153	75	457	328	361	212
SPBC18E5.15	2	2	0.5	0.5	0.5	1	0.5	0.5	13	36	7	16	48	75	37	32
SPBC18H10.02	19062	10766	4444	6083	4140	4449	4253	2687	5377	7148	4887	3619	14250	13445	11703	9168
SPBC18H10.03	5659	9089	694	5071	952	3339	474	2031	1062	2746	734	1435	2488	4907	1779	3527
SPBC18H10.04c	4051	12155	781	6289	577	4666	396	2239	857	4305	686	1853	3555	10172	2097	7359
SPBC18H10.05	585	226	170	115	128	102	86	46	591	553	504	209	1101	687	559	341
SPBC18H10.06c	270	235	51	120	60	117	33	52	246	686	171	246	547	825	347	423
SPBC18H10.07	73	83	7	26	8	21	5	7	150	260	73	122	181	306	109	140
SPBC18H10.08c	529	276	91	149	71	140	39	45	580	1105	479	556	1307	1575	863	976
SPBC18H10.09	144	110	18	46	9	42	12	15	275	331	129	149	294	510	179	201
SPBC18H10.10c	322	148	33	54	34	43	29	24	164	209	94	98	312	275	157	134
SPBC18H10.11c	204	116	34	51	32	43	24	28	277	423	154	198	454	550	293	303
SPBC18H10.12c	8269	28576	534	19485	998	13326	365	8860	1323	8055	1361	4745	3853	16596	2901	13951
SPBC18H10.13	2206	12926	111	8941	339	6922	74	3824	105	1277	74	653	883	6835	582	5540
SPBC18H10.14	5887	24146	339	13279	888	12006	244	5594	194	2027	155	903	1064	6482	588	5324
SPBC18H10.15	200	429	30	150	30	121	16	61	482	859	392	503	608	954	439	524
SPBC18H10.16	839	735	148	313	157	225	127	115	1854	2611	1185	974	3539	3529	2271	1783
SPBC18H10.17c	1216	608	125	285	186	271	89	148	193	404	192	183	487	567	338	385
SPBC18H10.18c	74	129	12	43	5	43	18	23	239	347	155	153	572	542	415	276
SPBC18H10.19	258	149	64	75	58	53	40	40	775	1083	565	595	1101	1054	677	571
SPBC18H10.20c	560	1291	39	326	74	399	28	123	469	1769	278	689	1242	2775	576	1371
SPBC1921.01c	4540	6977	694	4772	1330	3333	685	2531	618	2796	895	1819	1812	4127	1246	3321
SPBC1921.02	467	310	55	179	98	112	69	83	433	796	384	332	1123	1149	804	602
SPBC1921.03c	1011	1021	100	414	191	322	100	161	1408	2495	615	834	2815	3547	1349	1512
SPBC1921.04c	0.5	0.5	0.5	1	0.5	0.5	0.5	0.5	0.5	2	0.5	1	1	0.5	3	1
SPBC1921.05	15831	7351	4070	3930	2105	2407	2341	1187	5074	4986	5078	2766	10983	8288	8746	6312
SPBC1921.06c	1593	1125	208	432	280	387	210	158	613	1186	400	351	1860	2228	1081	799
SPBC1921.07c	391	326	34	138	68	116	25	47	592	894	483	534	810	919	647	603
SPBC19C2.01	607	957	113	504	93	330	84	186	2267	4100	1293	1764	2640	4128	1715	2032
SPBC19C2.02	280	292	31	132	59	101	29	65	232	570	175	238	383	684	240	368
SPBC19C2.03	288	563	31	279	57	229	23	97	83	434	81	191	229	654	141	440
SPBC19C2.04c	137	198	31	79	54	73	40	28	150	433	173	305	652	548	334	327
SPBC19C2.05	409	469	58	140	60	159	35	49	602	1061	610	461	609	699	380	304
SPBC19C2.06c	18	1	1	0.5	7	3	1	0.5	10	16	14	8	60	44	69	39
SPBC19C2.07	128897	198081	17987	106177	16288	86718	11366	37669	11928	33000	15168	21741	30904	51449	25643	45365
SPBC19C2.08	299	354	21	129	71	115	22	77	49	133	43	58	242	398	145	214
SPBC19C2.09	1929	1997	615	960	441	715	456	303	1453	2568	1502	1245	3090	2731	1953	1697
SPBC19C2.10	409	660	83	260	80	228	84	88	789	1519	457	685	1392	1672	730	935
SPBC19C2.11c	1582	723	180	235	279	318	182	94	1124	1238	1022	510	2268	1257	1341	595
SPBC19C2.12	825	498	95	177	128	165	70	69	269	436	242	226	495	477	380	363
SPBC19C2.13c	449	544	31	180	76	191	23	73	347	946	134	316	743	1306	298	470
SPBC19C2.14	1425	1097	132	590	304	485	114	212	134	285	102	157	472	704	305	576
SPBC19C2.15c	1770	1099	179	858	237	440	117	337	256	514	213	252	983	1424	799	1059
SPBC19C7.01	217	198	22	129	65	74	19	46	143	416	85	220	272	508	155	340
SPBC19C7.02	1341	960	298	458	196	314	238	183	3065	4621	2344	1930	5714	6122	4195	3522
SPBC19C7.03	1935	944	476	428	268	353	280	186	3947	3795	3304	1689	7101	5443	5023	3124
SPBC19C7.04c	4799	1175	507	414	789	216	536	109	881	636	710	275	1207	276	736	265
SPBC19C7.05	1099	853	180	298	178	324	172	111	225	408	229	194	502	470	257	275
SPBC19C7.06	3344	13323	728	7729	546	5068	520	2867	1178	6272	950	3094	4776	15032	3120	11176
SPBC19C7.07c	301	467	18	157	43	175	14	63	330	828	234	465	493	1007	362	591
SPBC19C7.08c	418	653	85	292	71	167	67	133	1113	1950	690	797	1653	2155	1060	1001
SPBC19C7.09c	170	78	27	23	30	31	5	10	1322	1650	871	739	1602	1767	1107	932
SPBC19C7.10	6794	1644	1966	1131	1000	583	1139	411	2390	1619	1966	895	3983	2133	2973	1426
SPBC19C7.11	386	749	64	292	59	237	58	129	602	1106	388	597	1131	1691	754	990
SPBC19C7.12c	1496	1886	332	883	300	626	312	286	605	1119	381	532	1479	1762	921	1053
SPBC19F5.01c	355	126	58	51	57	65	28	16	591	372	471	166	1204	556	707	279
SPBC19F5.02c	644	2345	80	974	113	752	64	314	541	2556	230	933	1372	4056	674	2150
SPBC19F5.03	4301	2885	944	1409	824	1127	844	658	2006	2461	1603	1245	5245	4185	3715	2568
SPBC19F5.04	3985	7260	342	4372	763	2649	321	1562	1621	3975	1893	2094	5350	7194	4340	5204
SPBC19F5.05c	670	2927	119	1702	119	1023	90	684	1364	4893	637	2239	2679	6963	1174	4111
SPBC19F8.01c	258	251	45	130	55	116	47	51	248	501	171	209	368	594	289	311
SPBC19F8.02	604	679	100	408	124	233	69	180	263	645	194	372	479	803	302	606
SPBC19F8.03c	1922	1016	312	470	366	366	247	174	2703	2944	1823	1470	3805	3009	2428	1670
SPBC19F8.04c	31	50	1	25	14	34	2	12	242	346	171	187	563	504	481	323
SPBC19F8.05	712	584	124	286	143	179	103	92	533	939	344	460	969	1126	722	641
SPBC19F8.06c	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	54	28	63	16	85	31	72	27
SPBC19F8.07	846	515	95	218	98	203	37	71	461	533	504	308	969	963	802	633
SPBC19F8.08	4216	17653	218	16318	515	9085	124	6487	613	4831	606	2390	3558	14595	2868	12167
SPBC19G7.01c	1022	838	235	462	168	282	125	151	1197	1897	745	761	2147	2659	1371	1590
SPBC19G7.02	246	342	45	207	47	119	24	62	185	561	130	253	310	650	214	372
SPBC19G7.03c	4825	5777	316	5378	1266	3516	260	2471	28	151	23	78	299	896	119	657
SPBC19G7.04	16	213	2	108	8	99	19	61	44	728	26	292	92	668	73	323
SPBC19G7.05c	3191	3863	583	1343	583	1139	571	370	2757	5043	1991	1935	6411	6742	4146	4196
SPBC19G7.06	447	632	46	169	67	245	29	62	570	1542	388	580	782	1255	343	538
SPBC19G7.07c	368	362	64	172	64	141	51	88	790	1614	556	969	1284	2086	901	1399
SPBC19G7.08c	368	206	22	53	55	76	18	19	521	794	448	335	979	873	438	355
SPBC19G7.09	1434	594	221	326	385	247	236	115	1513	1939	1029	873	2828	2301	1610	1023
SPBC19G7.10c	3521	2939	557	1702	671	1214	392	594	2515	4227	2320	2149	6460	7055	5007	4808
SPBC19G7.13	404	467	65	198	79	140	51	81	969	1425	565	562	1871	1662	999	836
SPBC19G7.14c	577	568	60	264	140	209	72	128	819	1673	649	928	1565	2044	1250	1291
SPBC19G7.15	1698	1471	362	808	378	541	329	316	1501	2593	1133	1333	2430	2878	1615	1861
SPBC19G7.16	3367	2150	649	1089	590	821	461	387	1197	1818	997	695	2837	2542	2101	1409
SPBC19G7.17	4739	5788	649	3180	699	1840	530	1111	846	2229	746	1156	2699	4319	1919	3143
SPBC19G7.18c	1009	411	105	164	160	145	63	56	495	459	487	237	1007	597	684	436
SPBC19G7.19	927	1771	103	734	278	812	107	330	94	251	58	161	219	422	121	318
SPBC1A4.01	153	78	19	48	12	19	14	12	34	56	19	32	55	91	38	70
SPBC1A4.02c	6810	14360	924	8721	958	5411	631	3104	664	2985	783	1538	3371	7724	2768	6108
SPBC1A4.03c	1450	1974	389	1028	279	644	322	347	3860	6432	2122	3246	5462	6798	3288	4038
SPBC1A4.04	1064	1331	203	486	133	500	90	156	705	1345	791	727	763	979	439	589
SPBC1A4.05	1076	937	152	505	213	358	111	199	1268	2441	810	963	2855	3267	1743	1823
SPBC1A4.06c	367	190	59	115	55	88	27	48	435	460	268	240	702	648	341	401
SPBC1A4.07c	721	1231	53	649	116	463	31	275	818	2250	354	897	1426	2999	728	1390
SPBC1A4.08c	3545	5923	545	3432	578	2407	399	1489	937	2974	738	1360	3599	7374	2501	5424
SPBC1A4.09	892	1074	164	743	181	393	99	266	807	1748	492	731	2202	3034	1287	1596
SPBC1A4.10c	461	699	68	300	62	271	51	124	1255	2656	981	1072	2633	3399	1847	1963
SPBC1A4.11c	617	189	90	143	94	93	41	54	98	198	80	101	303	323	207	210
SPBC1D7.01	520	348	46	194	108	124	35	84	715	1017	487	605	904	943	839	645
SPBC1D7.02c	2763	1470	556	511	373	502	284	155	788	1001	865	351	716	635	308	298
SPBC1D7.03	10278	1956	623	1375	1263	941	406	479	3122	5034	4411	2761	8765	7642	6708	5986
SPBC1D7.04	5437	6681	1222	3788	1190	2891	1086	1391	490	1336	520	669	2012	2997	1555	2238
SPBC1D7.05	740	65	166	39	147	24	139	15	1130	439	980	294	2048	639	1358	403
SPBC1E8.02	2367	1320	341	512	499	514	282	228	722	1044	513	406	1215	1042	557	541
SPBC1E8.03c	542	699	67	279	70	249	51	99	359	679	283	391	1144	1306	683	795
SPBC1E8.04	639	153	0.5	0.5	274	48	185	26	1816	1536	1785	916	5155	1769	4791	1168
SPBC1E8.05	16757	18257	3030	6111	3030	7013	2462	2152	1372	3829	1356	1346	3737	5048	1965	2820
SPBC20F10.01	1832	7853	207	2967	301	2619	102	1081	257	1913	189	930	769	3393	451	2417
SPBC20F10.02c	580	261	86	108	91	104	63	43	374	586	267	174	1109	942	689	464
SPBC20F10.03	2182	515	222	219	175	178	104	77	747	555	473	190	1773	885	805	417
SPBC20F10.04c	367	378	38	148	64	117	40	63	514	943	440	469	928	1067	746	586
SPBC20F10.05	122	229	21	130	26	73	19	39	1300	1740	911	947	1931	1980	1533	1092
SPBC20F10.06	749	329	100	119	147	102	124	54	198	260	101	99	389	361	290	161
SPBC20F10.07	1319	814	410	475	251	292	302	171	2804	3049	2322	1573	4307	3234	2967	1959
SPBC20F10.08c	562	559	89	234	101	230	90	114	1033	1776	739	779	2153	2587	1350	1477
SPBC20F10.09	1362	757	200	714	390	332	245	320	51	147	35	82	171	249	120	163
SPBC20F10.10	2320	312	473	147	389	101	323	46	525	311	443	137	911	374	577	249
SPBC21.01	444	218	127	120	69	82	116	62	543	758	469	350	1247	963	897	507
SPBC21.02	813	230	90	131	142	76	61	53	903	792	718	403	1296	901	1059	514
SPBC21.03c	186	173	22	98	20	65	14	34	265	372	132	219	302	530	248	287
SPBC21.04	628	364	64	119	102	115	52	57	762	856	509	449	708	695	504	359
SPBC21.05c	573	458	100	198	81	122	58	75	904	1443	595	578	1468	1628	1040	840
SPBC21.06c	424	235	118	114	63	96	67	26	749	1164	476	453	1662	1744	1024	833
SPBC21.07c	13	7	0.5	4	2	5	1	2	369	416	256	172	583	375	517	203
SPBC211.01	798	587	119	312	159	265	98	131	358	672	254	354	550	687	377	393
SPBC211.02c	860	942	98	456	131	295	86	157	814	1702	439	652	1451	2302	879	1098
SPBC211.03c	1894	1437	383	752	325	511	330	332	2678	4842	1989	2203	5328	6022	3794	3853
SPBC211.04c	951	1111	131	621	158	467	84	254	1158	2077	713	864	2505	3181	1686	1814
SPBC211.05	450	340	84	242	74	163	40	72	65	219	44	68	211	326	115	187
SPBC211.06	579	183	61	98	103	71	59	36	641	1053	454	441	1788	1684	1153	961
SPBC211.07c	6416	1105	1020	576	1057	381	707	201	618	282	537	136	1755	501	1464	371
SPBC211.08c	1916	1260	134	644	306	479	104	292	458	776	442	370	1255	1271	1031	954
SPBC215.01	1424	975	267	540	286	380	224	220	1424	2193	1151	1053	3428	3392	2520	1995
SPBC215.02	2002	886	240	812	568	411	223	425	176	311	149	144	484	614	389	468
SPBC215.03c	896	466	141	218	180	140	130	90	560	589	362	268	967	772	692	411
SPBC215.04	445	92	123	49	73	32	70	10	282	182	143	70	249	126	179	68
SPBC215.05	188196	26948	48210	12574	11427	7546	12087	3965	13176	6488	15045	2977	23044	10028	18765	8044
SPBC215.06c	239	755	16	404	39	309	19	145	112	680	48	301	223	944	99	469
SPBC215.07c	1255	851	314	581	243	354	202	221	1437	1336	819	695	2565	1901	1569	1161
SPBC215.08c	22333	19637	6316	12009	4453	5700	4473	3091	6176	9331	6717	5878	21868	17470	16347	14453
SPBC215.09c	13705	14609	2562	8227	1814	5442	1388	3035	1425	3557	1565	1616	5799	8441	4297	6922
SPBC215.10	5858	2434	853	1215	513	813	365	497	1795	1756	1757	1038	2499	2349	1929	1870
SPBC215.11c	64224	2781	14068	1767	4190	828	3853	675	7194	1029	6668	549	8917	1894	7131	1375
SPBC215.12	1602	1880	276	1036	228	685	191	357	2282	3764	1501	1602	4103	4936	2520	2828
SPBC215.13	4811	3025	842	1025	537	953	325	319	743	826	743	346	1327	1076	675	760
SPBC215.14c	857	265	83	97	221	84	103	35	1009	1101	454	377	1318	974	787	374
SPBC215.15	5678	4867	1127	2658	951	2019	823	1291	987	2408	986	998	2551	3653	1796	2471
SPBC216.01c	762	789	152	381	168	260	107	138	1902	2782	1276	1227	3977	4148	2747	2359
SPBC216.02	8	9	1	4	5	5	0.5	0.5	415	410	425	238	521	377	626	263
SPBC216.03	5349	1097	1041	537	564	381	489	208	793	367	724	176	1695	672	1476	507
SPBC216.04c	7068	932	1564	567	590	295	462	198	921	352	718	194	1379	578	1098	440
SPBC216.05	195	234	45	135	40	82	33	55	3617	3317	3378	1816	6146	4332	5002	3005
SPBC216.06c	505	577	95	261	102	217	95	118	1332	2503	876	1214	1997	2533	1316	1381
